exhibition_id,exhibition_title,institution,city,country,category,importance,title,start_date,end_date,artists,curators,status,image_url,source_url,exhibitions_url,website,crawler,scraped_at,updated_at,fetch_status,error_detail,pulse_label,score,reason,human_review_status
neue-nationalgalerie-exhibitions-unknown,Exhibitions,Neue Nationalgalerie,Berlin,Germany,museum,global,Exhibitions,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=559.",pending
neue-nationalgalerie-events-unknown,Events,Neue Nationalgalerie,Berlin,Germany,museum,global,Events,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=559.",pending
neue-nationalgalerie-about-us-unknown,About Us,Neue Nationalgalerie,Berlin,Germany,museum,global,About Us,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=560.",pending
neue-nationalgalerie-collections-research-unknown,Collections & Research,Neue Nationalgalerie,Berlin,Germany,museum,global,Collections & Research,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=561.",pending
neue-nationalgalerie-current-unknown,Current,Neue Nationalgalerie,Berlin,Germany,museum,global,Current,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=559.",pending
neue-nationalgalerie-preview-unknown,Preview,Neue Nationalgalerie,Berlin,Germany,museum,global,Preview,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=559.",pending
neue-nationalgalerie-archive-unknown,Archive,Neue Nationalgalerie,Berlin,Germany,museum,global,Archive,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=559.",pending
neue-nationalgalerie-education-outreach-unknown,Education & outreach,Neue Nationalgalerie,Berlin,Germany,museum,global,Education & outreach,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=561.",pending
neue-nationalgalerie-plan-your-visit-unknown,Plan Your Visit,Neue Nationalgalerie,Berlin,Germany,museum,global,Plan Your Visit,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=561.",pending
neue-nationalgalerie-fujiko-nakayas-fog-sculpture-unknown,Fujiko Nakaya’s fog sculpture,Neue Nationalgalerie,Berlin,Germany,museum,global,Fujiko Nakaya’s fog sculpture,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=562.",pending
