id,name,city,country,address,category,importance,website,exhibitions_url,title,start_date,end_date,artists,curators,status,image_url,source_url,crawler,scraped_at,updated_at
hamburger-bahnhof-hamburger-bahnhof-nationalgalerie-der-gegenwart-materialisti-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,"Hamburger Bahnhof – Nationalgalerie der Gegenwart [ materialistin ] Matter of Care, Care of Matter",,,"[""Hamburger Bahnhof""]",[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-plan-your-visit-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Plan Your Visit,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-preview-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Preview,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
hamburger-bahnhof-public-events-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,"Invalidenstraße 50-51, 10557 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,Public Events,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-about-us-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,About Us,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-archive-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Archive,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-collections-research-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Collections & Research,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-current-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Current,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-education-outreach-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Education & outreach,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-events-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Events,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-exhibitions-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Exhibitions,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-fujiko-nakayas-fog-sculpture-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Fujiko Nakaya’s fog sculpture,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-neue-nationalgalerie-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Neue Nationalgalerie,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-neue-nationalgalerie-fujiko-nakaya-fog-sculpture-in-the-scul-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Neue Nationalgalerie Fujiko Nakaya: Fog Sculpture in the Sculpture Garden of the Neue Nationalgalerie,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-neue-nationalgalerie-gilbert-baker-rainbow-flag-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Neue Nationalgalerie Gilbert Baker: Rainbow Flag,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-neue-nationalgalerie-glenn-ligon-double-america-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Neue Nationalgalerie Glenn Ligon: Double America,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
neue-nationalgalerie-neue-nationalgalerie-ruin-and-rush-berlin-19101930-unknown,Neue Nationalgalerie,Berlin,Germany,"Potsdamer Straße 50, 10785 Berlin",museum,global,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,Neue Nationalgalerie Ruin and Rush Berlin 1910–1930,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
